UASG,Modalidade da Licitação,Número do Aviso da Licitação,Identificador da Licitação,Tipo do Pregão,Situação do Aviso,Objeto,Informações Gerais,Número do Processo,Tipo de Recurso,Número de Itens na Licitação,Nome do Responsável,Função do Responsável,Data de Entrega do Edital,Endereço de Entrega do Edital,Data de Abertura da Proposta,Data de Entrega da Proposta,Data de Publicação,Itens da licitação > uri
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00001/1999,15322901000011999,,Publicado,Ampliação dos Setores de Mecanização; Bovinocultura (Curral) e  da Ensilagem da Bovinocultura.,,3000061651/99-01,Nacional,1,MARIA APARECIDA BOAVENTURA,Presidente da Comissão Especial de Licitação,26/05/1999 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,24/06/1999 14:00,25/05/1999,/licitacoes/id/licitacao/15322901000011999/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"3: CONCORRÊNCIA                                      ",00001/1999,15322903000011999,,Publicado,Construção de Viveiro para Produção de Mudas; Aprisco para Ovinos; Laboratório de Construções e Instalações Rurais; Tanque para Piscicultura (04 unidades); Depósito para Piscicultura; Herbário; Centro de Promoção de Educação Ambiental; Usina de Reciclagem de Lixo; Estação Meteorológica; Biblioteca; Biodigestor (02 unidades); Orquidário; Galpão para Armazenamento de Grãos e Abrigo para Animais Silvestres.,,3000061650/99-31,Nacional,1,MARIA APARECIDA BOAVENTURA,Presidente da Comissão Especial de Licitação,26/05/1999 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,25/06/1999 09:00,25/05/1999,/licitacoes/id/licitacao/15322903000011999/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"33: CONCORRÊNCIA POR TÉCNICA E PREÇO                  ",00001/2000,15322933000012000,,Publicado,Aquisição de equipamentos de informática.,"Valor do Edital: 10,00",3000061590200051,Nacional,10,JACKSON BEZERRA NUNES,Presidente da Comissão Especial de Licitação,21/07/2000 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,04/09/2000 14:00,20/07/2000,/licitacoes/id/licitacao/15322933000012000/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"3: CONCORRÊNCIA                                      ",00001/2000,15322903000012000,,Publicado,"Aquisição de máquinas, ferramentas, implementos agrícolas, equipamentos e materiais para laboratórios.",,3000061592200040,Nacional,80,JACKSON BEZERRA NUNES,Presidente da Comissão Especial de Licitação,24/04/2000 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,24/05/2000 14:00,24/04/2000,/licitacoes/id/licitacao/15322903000012000/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00001/2000,15322901000012000,,Divulgado,Aquisição de passagens aéreas.,,3000061503/99-65,Nacional,20,,,01/02/2000 08:00,Rodovia 399 km 05 - Zona Rural/RO,,08/02/2000 08:00,,/licitacoes/id/licitacao/15322901000012000/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00001/2001,15322901000012001,,Divulgado,"Aquisição de Combustíveis, Lubrificantes e Gás para Consumo Doméstico.","Valor do Edital R$ 5,00.",3000063001200150,Nacional,20,,,24/01/2001 08:00,"Rodovia 399, KM 05 - Zona Rural/RO",,05/02/2001 08:00,,/licitacoes/id/licitacao/15322901000012001/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"3: CONCORRÊNCIA                                      ",00001/2001,15322903000012001,,Publicado,"Aquisição de implementos e equipamentos agrícolas, para laboratórios e topográficos.","Edital R$ 10,00",3000063069200139,Nacional,33,JACKSON BEZERRA NUNES,Presidente da CEL,13/07/2001 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,15/08/2001 08:00,13/07/2001,/licitacoes/id/licitacao/15322903000012001/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00001/2002,15322901000012002,,Divulgado,Aquisiçao de milho em grão,,3000063007200216,Nacional,1,,,15/02/2002 08:00,Rod 399 km 05 - Zona Rural/RO,,26/02/2002 08:00,,/licitacoes/id/licitacao/15322901000012002/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00001/2002,15322902000012002,,Publicado,"Prestacao de Servicos Continuos   de Limpeza, Conservacao e Higienizacao.",,3000063008200252,Nacional,1,SANDRA MARIA PERON DE LIMA,Presidente - CPL,19/04/2002 08:00,Rod 399 km 05 - Zona Rural/RO,,20/05/2002 08:00,18/04/2002,/licitacoes/id/licitacao/15322902000012002/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"3: CONCORRÊNCIA                                      ",00001/2003,15322903000012003,,Publicado,"Aquisicao de equipamentos industriais , mobiliario e outros.",,3000072085200384,Nacional,31,SILVILENE SOUZA DA SILVA,Presidente da CEL,29/09/2003 08:00,Rod. 399 - km 05 - Cx. Postal 47 - Zona Rural/RO,,29/10/2003 09:00,24/09/2003,/licitacoes/id/licitacao/15322903000012003/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00001/2003,15322902000012003,,Publicado,Serviço de Telefonico Fixo Comutado-STF C,,3000072006200335,Nacional,2,ROMUALDO DE OLIVEIRA,Presidente da CPL,19/02/2003 08:00,Rodovia 399 Km 61 - Zona Rural/RO,,14/03/2003 08:00,19/02/2003,/licitacoes/id/licitacao/15322902000012003/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00001/2003,15322901000012003,,Divulgado,Fornecimento de passagem aerea.,,3000072008200324,Nacional,1,,,19/02/2003 08:00,Rod 399 km 61 - Zona Rural/RO,,27/02/2003 08:00,,/licitacoes/id/licitacao/15322901000012003/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00001/2004,15322902000012004,,Publicado,"Aquisiçao de Generos alimenticios, Limp eza, Copa e Cozinha",,3000072012200473,Nacional,340,VANDERLEI KUIPERS,Presidente da CPL,10/05/2004 08:00,"Escola Agrotecnica Federal de Colorado do Oeste, Rod 399, Km 05 - Zona rural/RO",,27/05/2004 08:00,06/05/2004,/licitacoes/id/licitacao/15322902000012004/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00001/2004,15322901000012004,,Publicado,Contratação de empresa de passagens Aér eas,"Valor do edital impresso R$ 5,00",3000072040200491,Nacional,1,VANDERLEI KUIPERS,Presidente da CPL,02/04/2004 08:00,Rodovia 399 Km 05 zona rural - Zona Rural/RO,,13/04/2004 08:00,01/04/2004,/licitacoes/id/licitacao/15322901000012004/itens
